0,0,0,0,0,0,0,3,3,3,4,4,4,5,5,1,5,6,5,6,7,6,7,9,2,9,9,7,9,10,8,12,11,0,13,12,9,14,14,10,14,15,3,15,17,11,16,16,12,19,17,4,19,20,13,20,20,14,21,20,1,22,22,15,24,21,16,21,24,5,26,25,17,27,27,18,27,28,6,28,28,19,31,28,20,32,32,2,32,31,21,33,33,22,35,34,7,34,35,23,35,37,24,37,36,8,36,40,25,40,39,26,41,41,0,42,44,27,44,46,28,44,44,9,46,46,29,49,49,30,47,45,10,49,50,31,50,50,32,50,49,3,53,53,33,53,52,34,54,54,11,54,55,35,56,57,36,59,59,12,61,61,37,60,58,38,62,61,4,61,61,39,61,64,40,67,64,13,64,65,41,68,68,42,68,67,14,67,67,43,71,71,44,69,69,1,72,71,45,71,
1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,6,7,6,7,8,2,8,7,7,10,10,8,10,11,0,11,12,9,12,13,10,15,15,3,15,14,11,16,14,12,17,17,4,17,18,13,18,21,14,21,19,1,22,21,15,21,21,16,21,24,5,24,25,17,25,26,18,28,28,6,28,29,19,29,29,20,30,30,2,31,31,21,33,32,22,34,34,7,34,33,23,35,36,24,36,36,8,36,38,25,39,39,26,39,40,0,40,40,27,43,43,28,45,43,9,43,45,29,45,47,30,48,46,10,46,46,31,50,51,32,49,49,3,51,50,33,54,52,34,51,53,11,53,55,35,55,54,36,54,56,12,58,58,37,60,58,38,61,61,4,61,62,39,62,63,40,65,65,13,63,63,41,66,66,42,67,67,14,67,68,43,70,68,44,70,68,1,72,71,45,71,72,46,-1,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,7,8,10,8,8,11,9,0,9,10,9,10,11,10,11,12,3,12,13,11,16,15,12,18,15,4,18,18,13,18,19,14,19,19,1,19,21,15,21,19,16,23,23,5,22,23,17,23,24,18,24,24,6,26,25,19,25,25,20,30,27,2,31,29,21,33,30,22,30,31,7,31,32,23,33,34,24,36,34,8,38,35,25,39,37,26,41,40,0,40,39,27,43,41,28,45,44,9,43,41,29,45,44,30,48,46,10,44,47,31,47,49,32,49,46,3,51,48,33,52,52,34,51,50,11,53,52,35,52,54,36,54,55,12,58,57,37,60,59,38,57,57,4,60,58,39,62,59,40,63,62,13,66,62,41,62,64,42,67,65,14,65,66,43,69,69,44,69,69,1,68,71,45,70,70,46,73,71,-1,-1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,10,11,10,11,12,3,12,11,11,13,12,12,17,13,4,15,16,13,15,16,14,19,18,1,20,18,15,18,19,16,19,20,5,22,19,17,23,24,18,24,25,6,25,25,19,25,27,20,30,26,2,26,29,21,29,30,22,30,31,7,31,32,23,32,31,24,31,32,8,34,35,25,37,37,26,37,38,0,37,38,27,41,41,28,42,42,9,41,41,29,44,42,30,46,45,10,44,43,31,43,48,32,49,46,3,46,48,33,47,51,34,51,50,11,50,52,35,52,51,36,51,55,12,55,54,37,59,56,38,59,56,4,60,59,39,59,59,40,59,60,13,64,63,41,62,61,42,65,65,14,65,64,43,64,64,44,66,70,1,67,65,45,70,69,46,69,69,15,74,-1,-1,-1,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,11,13,14,12,13,14,13,4,13,14,13,16,14,14,16,17,1,16,17,15,18,20,16,20,20,5,22,19,17,19,20,18,21,19,6,26,26,19,27,26,20,27,28,2,26,29,21,30,30,22,32,29,7,32,32,23,33,31,24,31,32,8,35,31,25,31,32,26,38,36,0,36,36,27,38,36,28,42,39,9,43,40,29,42,42,30,42,43,10,47,43,31,43,45,32,48,47,3,48,47,33,47,46,34,51,49,11,53,48,35,51,51,36,51,53,12,56,51,37,56,56,38,58,57,4,56,59,39,59,60,40,60,60,13,60,59,41,65,59,42,63,62,14,66,66,43,64,65,44,68,65,1,65,65,45,70,69,46,69,68,15,72,70,47,-1,-1,-1,-1,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,14,13,14,15,16,17,15,1,15,15,15,17,16,16,20,17,5,22,19,17,23,20,18,21,19,6,19,23,19,23,23,20,26,24,2,24,24,21,28,25,22,25,25,7,28,27,23,33,30,24,30,32,8,34,31,25,31,32,26,32,33,0,36,37,27,39,37,28,39,40,9,40,41,29,40,39,30,43,40,10,44,44,31,42,41,32,45,46,3,44,44,33,47,46,34,49,50,11,49,48,35,51,47,36,53,53,12,50,51,37,57,53,38,57,57,4,55,55,39,58,57,40,60,57,13,62,59,41,62,60,42,59,60,14,64,59,43,63,62,44,66,66,1,65,66,45,66,66,46,68,65,15,70,70,47,73,72,-1,-1,-1,-1,-1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,16,17,18,16,17,19,17,5,17,18,17,18,20,18,21,19,6,23,23,19,23,24,20,24,21,2,24,27,21,25,27,22,25,27,7,31,26,23,26,30,24,30,28,8,33,33,25,33,32,26,33,33,0,34,34,27,38,32,28,37,35,9,37,41,29,42,39,30,39,41,10,40,41,31,45,41,32,44,44,3,46,48,33,43,43,34,49,44,11,50,48,35,47,47,36,49,49,12,50,49,37,52,53,38,53,51,4,55,54,39,58,57,40,57,56,13,56,56,41,63,57,42,61,58,14,60,63,43,63,60,44,62,61,1,67,64,45,66,64,46,68,67,15,66,66,47,67,71,48,66,-1,-1,-1,-1,-1,-1,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,18,17,18,20,18,21,22,6,22,20,20,22,20,20,21,21,2,21,26,21,25,28,22,27,28,7,27,28,23,26,28,24,28,28,8,28,29,25,29,28,26,34,34,0,36,31,27,35,35,28,34,35,9,38,36,29,38,34,30,37,37,10,41,39,31,43,42,32,39,38,3,42,45,33,43,45,34,45,45,11,45,48,35,47,49,36,50,48,12,50,52,37,52,50,38,55,55,4,55,56,39,52,52,40,56,54,13,56,58,41,58,58,42,58,58,14,58,59,43,63,64,44,61,61,1,65,60,45,68,63,46,67,67,15,67,64,47,67,65,48,69,65,16,-1,-1,-1,-1,-1,-1,-1,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,22,20,22,21,21,22,21,22,2,22,23,21,25,23,22,23,26,7,28,24,23,24,29,24,28,25,8,25,29,25,29,28,26,28,33,0,35,28,27,31,33,28,31,33,9,33,32,29,36,39,30,37,36,10,40,36,31,42,38,32,38,38,3,42,40,33,45,47,34,45,44,11,48,43,35,47,45,36,45,46,12,46,46,37,52,53,38,50,49,4,54,49,39,52,51,40,56,54,13,54,55,41,58,61,42,61,56,14,60,56,43,59,60,44,62,59,1,63,63,45,63,63,46,63,60,15,65,64,47,65,65,48,69,67,16,73,67,-1,-1,-1,-1,-1,-1,-1,-1,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,23,22,23,22,22,23,24,7,24,23,23,24,27,24,25,27,8,25,29,25,26,28,26,32,27,0,30,28,27,28,33,28,32,34,9,33,31,29,31,33,30,33,36,10,38,38,31,38,38,32,38,40,3,40,40,33,40,43,34,41,44,11,44,43,35,47,44,36,45,46,12,46,45,37,49,48,38,47,48,4,48,52,39,52,51,40,54,55,13,55,51,41,55,53,42,57,55,14,55,55,43,61,57,44,60,56,1,59,60,45,64,59,46,64,59,15,65,66,47,63,67,48,69,66,16,68,72,49,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,
